Test Set,Method,Train Set,P,R,F1,Acc
ASIAF,ML Classical Features,"SOC and SA",0.94140625,0.94140625,0.94140625,0.94140625
ASIAF,ML Hybrid Features,"SOC and SA",0.9609375,0.9609375,0.9609375,0.9609375
ASIAF,ML Word Emb. Features,"SOC and SA",0.953125,0.953125,0.953125,0.953125
SOC,ML Classical Features,"ASIAF and SA",0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
SOC,ML Hybrid Features,"ASIAF and SA",0.8791208791208791,0.8791208791208791,0.8791208791208791,0.8791208791208791
SOC,ML Word Emb. Features,"ASIAF and SA",0.9560439560439561,0.9560439560439561,0.9560439560439561,0.9560439560439561
