"ground_len","books_0_01_glove300_perfect_mean","books_0_01_glove300_jaccard_mean","books_0_01_glove300_precision_mean","books_0_01_glove300_recall_mean","books_0_01_glove300_f1_mean"
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,0.9990141307919816,0.9996056523167927,0.9996056523167927,1.0,0.9997535326979954
4,0.9960546282245827,0.9981646072693114,0.9984016186140616,0.9992412746585736,0.9987388298769179
5,0.9880633373934227,0.9944724783945248,0.9957055855228815,0.9970280146163216,0.9962565976451482
6,0.9781344498720632,0.99076889420574,0.9931559388119052,0.9949600682329223,0.993926829935204
7,0.9663482414242293,0.986833324561288,0.9904476734969571,0.9928664474908504,0.9915066786593056
8,0.9518579107268054,0.9831705128503447,0.9876411006873732,0.9916452442159382,0.9894127008703959
9,0.9392156862745098,0.9793795790946527,0.9849324694912931,0.989624183006536,0.9870440985288007
10,0.92223991507431,0.9752970839836239,0.9820808161672014,0.9879246284501061,0.9847293925163628
11,0.8924889543446245,0.9674037459888193,0.976083448564458,0.9843352523764896,0.9798374026657307
12,0.8647450110864745,0.9608809405405809,0.9709930804536163,0.9818392989124698,0.9759740714400668
13,0.8348686455134766,0.9518784022436194,0.9643097659673565,0.9770096842768287,0.9701518974324468
14,0.7871674491392802,0.9396127068862434,0.9542609559510695,0.9715515314106862,0.9622307048307
15,0.7344329896907217,0.9216590223938996,0.9396828338963352,0.962639175257732,0.9502080410152743
16,0.6942110177404295,0.9079221050914636,0.9295493683907881,0.9546276844070962,0.9410891379760352
17,0.6121495327102804,0.8759885833180545,0.9036159572541659,0.9372060350619998,0.919046797240573
18,0.5514786418400877,0.8483670167650464,0.8813418863055141,0.9217171717171718,0.8997336527420057
19,0.4833029751062538,0.8106885486119109,0.8506103458481052,0.8981241811267696,0.8721099545422054
20,0.39561943874058864,0.7713163249379134,0.8183071194356093,0.8757700205338809,0.8442339597494448
21,0.3415409054805401,0.7222324440484376,0.7777729207505467,0.8437535458981053,0.8074364394228485
22,0.2979842243645925,0.7020948089379411,0.7604026426866802,0.8310891562425304,0.7920316327977105
23,0.2302439024390244,0.6420510635841015,0.7098311580704545,0.7933828207847298,0.7469815757643132
24,0.20973348783314022,0.6217575285276385,0.6930190144823836,0.7812862108922364,0.7320737599433094
25,0.15782493368700265,0.5756746373021816,0.6544773179356724,0.7508222811671089,0.6969626472406525
26,0.12446351931330472,0.5332881487347209,0.6182359586454124,0.7198195223946298,0.6627321569518682
27,0.0896551724137931,0.49095636223130923,0.5822947250678839,0.6885696040868454,0.6288491385596973
28,0.05037313432835821,0.4641009375455761,0.5602040401782518,0.6739072494669509,0.6098625328809426
29,0.06372549019607843,0.45693238687571164,0.550594915905642,0.6632860040567954,0.5997703432223835
30,0.034739454094292806,0.4307515781936431,0.5289858940886039,0.6464846980976013,0.5800793463447521
31,0.01834862385321101,0.38572415590773984,0.48683054683464977,0.6106343099536353,0.5403760835391247
32,0.029801324503311258,0.3788109581889878,0.476867821323572,0.5957160596026491,0.5282369328204967
33,0.0,0.37891927144493587,0.4815369565662026,0.609159779614325,0.5366667767328213
34,0.009009009009009009,0.352060974875463,0.4550093352607876,0.5805511393746687,0.5091532328708746
35,0.03349282296650718,0.35966755506292925,0.45595823944856984,0.5875598086124402,0.5118724310211815
36,0.006024096385542169,0.34646710173638756,0.447564544689289,0.5744645247657296,0.5019958270017932
37,0.0,0.3398900294894278,0.442909158596871,0.5736764161421696,0.49906766787560525
38,0.0,0.30968859823130324,0.4105339677138078,0.5420582706766917,0.4664739499167236
39,0.0,0.3150680347074751,0.41340314267735784,0.5449883449883449,0.4690835306774008
40,0.0,0.2967060937143447,0.3961797287114873,0.5276960784313726,0.4519106544489135
41,0.0,0.28880605601282594,0.38737196001055774,0.5190362879238548,0.4428271350513412
42,0.013513513513513514,0.31273344123651914,0.41345762913060663,0.5366795366795369,0.46603167885838415
43,0.0,0.2886522269697358,0.38554298322951286,0.5203054494967025,0.4422902117085112
44,0.0,0.29054572621968283,0.3897579740307734,0.5187590187590188,0.4444807084555151
45,0.0,0.29059652573021794,0.39172816540269373,0.514814814814815,0.4442925634869822
46,0.0,0.28189498995157114,0.3798473182144389,0.5062111801242237,0.4335449657369509
47,0.0,0.2684539912367449,0.36533435875571796,0.4969604863221884,0.42078844556751094
48,0.0,0.28044903781868913,0.3817156507681471,0.5069444444444445,0.4350147870286934
49,0.0,0.2665338921632395,0.3665693348993276,0.489010989010989,0.41834977989253885
50,0.0,0.2735171343386337,0.3705266852110633,0.5009523809523809,0.425535976783204
51,0.0,0.26333900492786294,0.3590939929550438,0.4841628959276018,0.412082265467256
52,0.0,0.2893977596952205,0.3926541564164654,0.5144230769230769,0.44509978135299794
53,0.0,0.2859267742750602,0.3896379345733265,0.5037735849056604,0.4389857068148311
54,0.0,0.25104646191844976,0.34710559097034394,0.470899470899471,0.39936768695053954
55,0.0,0.2622178854596701,0.36054054006614017,0.48181818181818176,0.41222555809584616
56,0.0,0.24398139780857217,0.3382157373705214,0.4613095238095238,0.3900793388985632
57,0.0,0.2669780521016502,0.3694132983930579,0.48732943469785567,0.4194989550737366
58,0.0,0.1760677183532128,0.2642105263157895,0.3448275862068966,0.29918078779037144
59,0.0,0.2392919235024498,0.33168262020513134,0.45762711864406785,0.38444174500512535
60,0.0,0.24495774334971343,0.3396486876792607,0.461904761904762,0.39109790234270186
61,0.0,0.22874929748484338,0.3216089466089466,0.4426229508196721,0.37220894661805076
62,0.0,0.22618749091328602,0.3181327616162135,0.4314516129032258,0.3661254020385821
