"model"	"resolution"	"perp"	"msetopeak"	"perpsat"	"perphue"	"perpval"	"perpstd"
"Extrapolating CDEST"	64	27.345328279859956	0.17741878032105549	41.403206241630905	15.836851420748832	31.18506173319573	0.4272707543728118
"Non-extrapolating CDEST"	64	24.782970781379966	0.16444025605588897	40.06246557568607	12.684783458928237	29.952933553470938	0.38723391845906197
"Non-extrapolating Baseline"	64	26.237074968943816	0.1354638190988665	40.71252905939027	13.914332060377482	31.882752198570635	0.4099542963897471
"Extrapolating CDEST"	256	108.78861567720475	0.20716377525888643	165.28589897949655	62.309073565681665	125.01532465473183	0.42495552998908104
"Non-extrapolating CDEST"	256	94.76880228547543	0.16677528292644445	152.79842759398292	48.312714999780056	115.29642644530199	0.3701906339276384
"Non-extrapolating Baseline"	256	128.88889624564703	0.1390601778165647	186.13062784054785	74.88808896476263	153.6087387584732	0.5034722509595587
