Step,SOWE-CE,RNN-CE,CNN-CE,SOWE-STDPERP,RNN-STDPERP,CNN-STDPERP
1,16.626760482788086,16.634244918823242,16.632232666015625,0.991266509785369,0.998713413747231,0.996705770496736
11,16.191587448120117,16.277482986450195,16.142362594604492,0.641500775963922,0.699038578706689,0.610687602866275
21,15.979409217834473,16.067340850830078,16.013063430786133,0.518858996587622,0.566549126690449,0.536617943312198
31,15.727360725402832,15.96237850189209,15.910632133483887,0.403260869323178,0.510097277351913,0.484372906981264
41,15.414677619934082,15.898897171020508,15.785595893859863,0.294977937520671,0.478722030360139,0.427442099485199
51,15.151440620422363,15.846264839172363,15.549355506896973,0.226708163263115,0.454177360985371,0.337504367996411
61,14.949949264526367,15.778852462768555,15.26626968383789,0.185336336589321,0.424569370054444,0.254294394514997
71,14.787153244018555,15.660486221313477,14.953893661499023,0.157492240370325,0.377174960823132,0.186068820327926
81,14.651423454284668,15.504439353942871,14.746537208557129,0.137503091408957,0.322680380574679,0.151223693437916
91,14.537643432617188,15.335902214050293,14.62061595916748,0.12271521898841,0.272632615905365,0.133331552848029
101,14.444397926330566,15.232353210449219,14.526341438293457,0.111789861446641,0.245814246700826,0.121336100355568
111,14.36769962310791,15.138847351074219,14.456409454345703,0.103536330315202,0.223871067947043,0.113140725226799
121,14.30401611328125,14.978761672973633,14.383727073669434,0.0971483370978035,0.190753995940096,0.105209123224828
131,14.25196647644043,14.850066184997559,14.286377906799316,0.092221143092919,0.167718860889621,0.0954498379423604
141,14.208030700683594,14.722122192382812,14.194252014160156,0.088257055906061,0.147576271629666,0.0870493291508379
151,14.170465469360352,14.597519874572754,14.12865161895752,0.0850031585238287,0.130287405287636,0.0815221338617389
161,14.138229370117188,14.476372718811035,14.081581115722656,0.0823066836879383,0.115422079318301,0.0777737570474012
171,14.109772682189941,14.378850936889648,14.050695419311523,0.0799975194832176,0.104697357882414,0.0754083766392873
181,14.084073066711426,14.314695358276367,14.015922546386719,0.0779678071193922,0.098191367466168,0.0728312769905912
191,14.061688423156738,14.265402793884277,13.998509407043457,0.0762419143612014,0.0934686176107231,0.0715740338587359
201,14.041412353515625,14.231221199035645,13.975168228149414,0.0747115948567244,0.0903276978263259,0.0699227578631911
211,14.022189140319824,14.201632499694824,,0.0732891140703756,0.087694172165578,
221,14.00518798828125,14.177830696105957,,0.0720536466421491,0.0856315372959053,
231,13.989571571350098,14.157951354980469,,0.0709371672484199,0.08394604747523,
241,13.974641799926758,14.142236709594727,,0.0698859582370767,0.0826371762664495,
251,13.961857795715332,14.127525329589844,,0.0689982223525442,0.0814303680362776,
261,13.94906997680664,14.119475364685059,,0.0681215031903527,0.080777487788597,
271,13.937003135681152,,,0.0673044314857179,,
281,13.925516128540039,,,0.0665357285015438,,
291,13.91477108001709,,,0.0658246261267896,,
301,13.905325889587402,,,0.0652058269364873,,
311,13.89555835723877,,,0.0645720272808322,,
321,13.886460304260254,,,0.0639872119302033,,
331,13.87823486328125,,,0.0634630475917922,,
341,13.870341300964355,,,0.0629640700169659,,
351,13.862321853637695,,,0.062461152230623,,
361,13.855514526367188,,,0.0620374026630576,,
371,13.847973823547363,,,0.0615713564123659,,
381,13.841383934020996,,,0.0611669419624229,,
391,13.835189819335938,,,0.0607892378877664,,
401,13.829021453857422,,,0.0604154217538506,,
411,13.823023796081543,,,0.0600541551893485,,
421,13.81775951385498,,,0.0597388438396971,,
431,13.81140422821045,,,0.0593603902870368,,
441,13.806924819946289,,,0.0590950855120358,,
451,13.801281929016113,,,0.0587625574820529,,
461,13.795687675476074,,,0.0584347426314631,,
471,13.791671752929688,,,0.058200543807961,,
481,13.787384986877441,,,0.0579515856864,,
491,13.782356262207031,,,0.0576608946329897,,
501,13.778966903686523,,,0.0574657920116055,,
511,13.773893356323242,,,0.0571749749549454,,
