"max_ground_len","books_0_001_perfect","books_0_001_jaccard","books_0_001_precision","books_0_001_recall"
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,0.9957734573119188,0.9976754015215553,0.9982369279072575,0.9984784446322909
6,0.995079950799508,0.9976937269372693,0.9982047677619633,0.9986879868798689
7,0.990686274509804,0.9956195533769063,0.9968008870214752,0.9972735760971055
8,0.9846153846153847,0.9934450783134995,0.9953099093888569,0.9961287834972046
9,0.9816735822959889,0.992665248344709,0.9948175815655069,0.9957331664800546
10,0.9728078215704247,0.9902191593664608,0.9929836254996659,0.9947022051513342
11,0.9640899122807017,0.9881610414045593,0.9913526326560866,0.9939509442798917
12,0.9569784892446224,0.985857592004096,0.9896296154237625,0.9927504697514702
13,0.9495680597711884,0.983876897888647,0.9880469880112792,0.9919038221746603
14,0.9429834254143646,0.9820579754344905,0.986716671026226,0.9910582002405208
15,0.933291378225299,0.9787904135517439,0.9842021348724241,0.9893025011023753
16,0.9219531719031419,0.9752874105721135,0.9814866705730726,0.9875185156604008
17,0.9108796296296297,0.9712479173947465,0.9782939915313906,0.9853135256313021
18,0.9003724394785847,0.9672553033032827,0.9752081588681267,0.9830703052318235
19,0.8890093998553869,0.9633925337323688,0.9721501195457366,0.9810448609316413
20,0.8766450254430602,0.9583502774456489,0.9680347908870135,0.9782137516535951
21,0.8650875386199794,0.95335801221657,0.9639626828678425,0.9754029031120808
22,0.8543983822042467,0.9489331244059878,0.9603909966107377,0.9729244484609615
23,0.8434034100314517,0.9438594335790299,0.95620778354896,0.9699637590583834
24,0.8361433949909969,0.9404674705129791,0.953461768979003,0.968067780073939
25,0.8285853026869537,0.9359401538869357,0.9496936044319553,0.9652583471142269
26,0.8221223310322684,0.9320193973172732,0.9464150855027178,0.9628074501417935
27,0.8162420382165605,0.9286642221582898,0.9437067277939357,0.9607327517527557
28,0.8099147458162299,0.9248503185639227,0.9405532786093933,0.9584005089776523
29,0.8040413533834586,0.9208563138135236,0.9372076836355431,0.9558041433976592
30,0.7992217898832685,0.9178944644929642,0.9347287573295086,0.9539227473074952
31,0.795046439628483,0.9150584017837146,0.932337348940163,0.9521200598969856
32,0.7922258213789912,0.9130800085879526,0.9306725057153723,0.9508534763125909
33,0.7889400921658987,0.9106978977172265,0.9286439050797709,0.9493210532460058
34,0.785201039596392,0.9081497982626587,0.9264818780536938,0.9476502150483868
35,0.7837631619105753,0.9071852603819767,0.9256524373256877,0.9470223103141523
36,0.7820922795797167,0.9060243726924744,0.9246614437204009,0.9462681216756806
37,0.779836015791072,0.9043677634044779,0.9232468459426375,0.9451632945257968
38,0.7785356980445657,0.9033300139349059,0.9223287200908453,0.9444210183033042
39,0.7772397094430993,0.9022852837453541,0.9214054041596415,0.9437103155931001
40,0.7770045385779123,0.9020688560861024,0.9212067209667891,0.9435420220029057
41,0.7761825600725404,0.9015308664206862,0.9207609502203921,0.9432036601326497
42,0.775245283018868,0.9008602762731822,0.9201989603287256,0.9427511302860923
43,0.774777492834515,0.9005722325356935,0.9199602837019176,0.9425892159547392
44,0.773377503388044,0.8995034675357917,0.9190377824927649,0.9418681885012337
45,0.7729119638826185,0.8991193701216883,0.918700469835944,0.9415921705297254
46,0.7725631768953068,0.8988479985966253,0.9184612530008393,0.9414190562896366
47,0.7716346153846154,0.8980542969855888,0.9177501905594022,0.9408437520842968
48,0.7715187021180712,0.8979515827625605,0.9176567587518806,0.9407681408852454
49,0.7712869800270311,0.8977814460749853,0.9175113546056407,0.9406572114455527
50,0.7708239531742458,0.8974038610495224,0.9171786044697212,0.9403956732726904
51,0.7707082833133253,0.8973025432765892,0.917088134348145,0.9403192892504437
52,0.7705926481620405,0.8972046581176855,0.9170019781603743,0.9402474541675162
53,0.770245950809838,0.8969775791450224,0.9168103116304945,0.9400932415801864
54,0.7698995652825663,0.896698132267784,0.9165657821758121,0.9399008802119204
55,0.7696688146261051,0.8964985176068452,0.9163896810359435,0.939749962410677
56,0.7695534911597243,0.8963926076060671,0.9162925733047315,0.9396680186259071
60,0.7692077280215666,0.8960833873815244,0.9160140013149812,0.9394305361154168
