"max_ground_len","books_0_01_glove300_perfect","books_0_01_glove300_jaccard","books_0_01_glove300_precision","books_0_01_glove300_recall","books_0_01_glove300_f1"
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,0.9992966002344665,0.9997186400937864,0.9997186400937864,1.0,0.9998241500586167
4,0.9978835978835979,0.9990413202317964,0.9991446208112874,0.9996693121693122,0.9993511169900059
5,0.9944277753964852,0.9974335109097219,0.9979343987916642,0.998739819974282,0.9982621326856218
6,0.9900400902029567,0.9956387735500113,0.9966475910083402,0.9977219577382442,0.99709466422383
7,0.9847350510452114,0.9936670721381465,0.9952593158475511,0.9966347200037041,0.9958434118412243
8,0.9790736045716125,0.9918595636994767,0.9939474585224916,0.9957755318313087,0.9947360428427061
9,0.9734522451519236,0.9900994497243071,0.9926760300165879,0.9949079766719505,0.9936512098792186
10,0.967550539804875,0.988393626128537,0.9914550383114014,0.9941032161098222,0.9926230602684517
11,0.960489859248587,0.9864192095521671,0.9900091071579358,0.9931843909719892,0.9914203752534558
12,0.9527886060791357,0.9843650345344703,0.9884795498111109,0.9922718465598539,0.9901779491753679
13,0.9445945945945946,0.9821076063873752,0.9868000420717545,0.991211310816574,0.9887863807149956
14,0.9355999642346209,0.9796796520972084,0.9849409151018765,0.9900880455232653,0.9872691170445678
15,0.9252560378278663,0.9766962542254389,0.9826137624349813,0.988676635451513,0.9853634511475122
16,0.9152181408839218,0.9737083178433735,0.9803083462931104,0.98719735725065,0.9834399256254688
17,0.9038240059341389,0.9700344571649343,0.977425027444626,0.9853178888531537,0.9810190084639138
18,0.8916972952596363,0.9658470149602373,0.9741181229922649,0.9831289357009476,0.9782214010838703
19,0.8794011187890753,0.9611754125677161,0.9703994781720312,0.9805695625375591,0.9750265352205724
20,0.8668162313266742,0.9562365003474439,0.9664430133087953,0.9778433525618212,0.9716241537102662
21,0.8552993626136324,0.951105869110628,0.9623063471088923,0.9749033806592469,0.9680242733109794
22,0.8444410293188532,0.9462543140390464,0.9583725983810991,0.9721014062033707,0.9645953573943488
23,0.8338759481774854,0.9410215770497814,0.9540973252335121,0.9690271874000193,0.960852084819824
24,0.8249656746786653,0.9364637554442727,0.9503701646873141,0.9663469924863501,0.9575860396862705
25,0.8167469977942978,0.9320191023100656,0.9467249852665032,0.9636918886168181,0.9543753536654553
26,0.8089299560609977,0.9275167609985323,0.9430157931366222,0.9609381605218756,0.9510822127617529
27,0.8022533768644773,0.9234644431045915,0.9396674444476801,0.9584099330919367,0.9480911241144641
28,0.7958584576324976,0.9195574478811762,0.9364400184767436,0.9559901705019177,0.9452144099776636
29,0.7911490193605348,0.916581616625418,0.9339580735652059,0.9541073537662551,0.9429923443404662
30,0.7863733922388808,0.9135143059850082,0.9314012627941218,0.9521651637608584,0.9407010761762158
31,0.7824589295177531,0.9108242692152325,0.9291353781948707,0.9504244519370024,0.9386607028386377
32,0.778932671424139,0.9083317464114794,0.9270164703112975,0.9487626161553553,0.9367378362772745
33,0.7757555157283234,0.9061723481451305,0.9251994226685575,0.9473774244359492,0.9351060032675758
34,0.7731346041326641,0.9042782711447629,0.9235922074527703,0.9461235298884235,0.933650001126904
35,0.7707620290077507,0.9025313040714593,0.9220921614192673,0.9449733523464592,0.9322970502842658
36,0.7688186035118875,0.9011181803044072,0.92088624625604,0.944031779722366,0.9312035274804984
37,0.7671040371484871,0.8998665678887016,0.9198202946346392,0.9432058386668309,0.9302398078125388
38,0.7657939279342473,0.898858624300028,0.918950502954145,0.9425207332578601,0.929447758893154
39,0.7645115620575743,0.8978810334574945,0.9181039348890132,0.9418550424616897,0.928676852575449
40,0.7633262908300528,0.8969489934542448,0.9172947623725579,0.9412129453005111,0.9279376914104125
41,0.7623760873195391,0.896191965220064,0.9166351040938445,0.9406874115324289,0.9273338162928157
42,0.7615357787314055,0.8955372587015751,0.9160704820011447,0.9402340689582539,0.9268161830696192
43,0.7607628684824431,0.8949213090980663,0.9155320304239383,0.9398078681901756,0.9263244201090169
44,0.7600375319702771,0.8943450774029025,0.9150307400270866,0.9394064262737121,0.9258650143576336
45,0.7595547422072324,0.8939615652631204,0.9146983286455742,0.9391367179042378,0.9255591107151621
46,0.7590725654086244,0.8935730161758472,0.914358797162705,0.9388618902476612,0.9252467727201334
47,0.7587514541691217,0.8933085714388319,0.9141265427960369,0.9386749522472394,0.9250333712008436
48,0.7583733502461417,0.8930031689349893,0.9138612297665766,0.938459810651433,0.9247891832681675
49,0.7580757154932979,0.8927573018718921,0.9136464370291875,0.93828341786429,0.9245904236907045
50,0.757835488690036,0.89256107070018,0.9134743276750674,0.9381448319225202,0.9244322782020892
51,0.757538275888076,0.892314298338613,0.9132569072255203,0.9379667863634905,0.9242313414748683
52,0.7573098092437608,0.8921324642019491,0.9130998981775497,0.9378390494383785,0.9240868397602873
53,0.7571956275914059,0.8920410649271768,0.9130209743986422,0.9377736042119128,0.9240136997477815
54,0.7570358311099051,0.8919057911901274,0.9129015451734805,0.9376750763796216,0.9239029798970275
55,0.7568761020601932,0.8917729316256733,0.9127850010221762,0.9375788938931648,0.9237950196856547
56,0.7567392450840051,0.8916557991250207,0.9126811084407879,0.9374927757218244,0.9236985141756804
57,0.75663663482689,0.8915710957814944,0.9126074438990935,0.9374317357051127,0.9236301471037559
58,0.7566024375913344,0.8915387576201993,0.9125781387067414,0.9374049521438117,0.9236019242543059
59,0.7565682434468214,0.891509279757856,0.9125518855197047,0.9373832689033702,0.9235775572681995
60,0.756408711630569,0.8913729463314966,0.9124310817607841,0.9372830083512423,0.9234652773156592
61,0.7563745349940509,0.8913430071633631,0.9124043867835193,0.9372606582424635,0.9234403700308105
62,0.7563289709492327,0.8913029381573995,0.9123685878271682,0.9372301882769304,0.9234067973455805
63,0.75622647191688,0.8912121776274856,0.912287884561595,0.9371595808390677,0.9233303984471118
64,0.7561467696523481,0.8911436536815466,0.9122277714366933,0.9371078603899978,0.923273833266619
65,0.7561126166817224,0.8911168633800969,0.9122049316685639,0.9370891598056567,0.9232527951459464
66,0.7560784667961399,0.8910861064877881,0.9121773618733872,0.9370653127232884,0.9232267757854759
67,0.7560215571746853,0.8910357686876043,0.9121326965684925,0.937026236214515,0.9231844563977726
69,0.7559532769365084,0.8909751249515913,0.9120788892329768,0.9369789126069085,0.9231334144774535
70,0.7559305195978084,0.8909563147366364,0.912062565743282,0.9369653276641999,0.923118265705354
71,0.7559077636292483,0.8909361500282826,0.9120445244800429,0.9369500536384052,0.9231013732611004
73,0.7558736322451498,0.8909058624616822,0.9120175455636058,0.9369265098203041,0.9230758558212603
74,0.7558508797013982,0.8908878917361055,0.912002071898603,0.9369141714405563,0.9230617207736637
76,0.7558395039431702,0.8908780872199413,0.9119934631141846,0.9369068036458663,0.9230536433237148
78,0.7558167534539325,0.890857263521043,0.9119746051173567,0.9368899869322811,0.923035652957999
80,0.7558053787228919,0.8908490616067073,0.9119678730129657,0.9368845406369339,0.9230294966353281
85,0.7557598832222239,0.8908095068828453,0.9119329818955916,0.9368543475368759,0.9229966085302889
89,0.7557485102028532,0.8908006557131599,0.9119256094367751,0.9368480271790995,0.9229897110683029
91,0.7557257651909591,0.8907821961608099,0.9119101137416492,0.9368340529847802,0.9229749153551164
92,0.7557143931984049,0.8907723961271318,0.9119016255311793,0.936826498226759,0.9229668422005698
94,0.755703021548092,0.8907622045831018,0.9118925905875219,0.9368184843351754,0.9229582483190488
96,0.7556916502400048,0.8907520379200639,0.9118837960442493,0.9368101872134627,0.9229496880279934
103,0.7556802792741281,0.8907417859119662,0.9118747770578813,0.936801934472293,0.9229410114301163
118,0.7556689086504461,0.8907324671859173,0.9118668123812913,0.9367951069382191,0.9229335485624943
126,0.7556575383689437,0.8907235652099268,0.9118592016950693,0.9367890123087399,0.922926590204852
128,0.7556461684296053,0.8907131970620705,0.9118499770563505,0.9367806769464626,0.9229177532906941
137,0.7556347988324155,0.8907037708402478,0.9118418778905314,0.9367737206688573,0.9229101562980905
157,0.7556234295773588,0.8906929023329204,0.9118321178137495,0.9367644177125796,0.9229006062368796
246,0.7556120606644199,0.8906838509159689,0.9118245582906294,0.936757785107585,0.9228934689716763
