ground_len,brown_glove50_perfect_mean,brown_glove50_jaccard_mean,brown_glove50_precision_mean,brown_glove50_recall_mean,brown_glove50_f1_mean,brown_glove100_perfect_mean,brown_glove100_jaccard_mean,brown_glove100_precision_mean,brown_glove100_recall_mean,brown_glove100_f1_mean,brown_glove200_perfect_mean,brown_glove200_jaccard_mean,brown_glove200_precision_mean,brown_glove200_recall_mean,brown_glove200_f1_mean,brown_glove300_perfect_mean,brown_glove300_jaccard_mean,brown_glove300_precision_mean,brown_glove300_recall_mean,brown_glove300_f1_mean,books_0_01_glove300_perfect_mean,books_0_01_glove300_jaccard_mean,books_0_01_glove300_precision_mean,books_0_01_glove300_recall_mean,books_0_01_glove300_f1_mean
88,0,0.090909091,0.175,0.159090909,0.166666667,0,0.202531646,0.31372549,0.363636364,0.336842105,0,0.2,0.307692308,0.363636364,0.333333333,0,0.233128834,0.336283186,0.431818182,0.378109453,0,0.289099526,0.409395973,0.495934959,0.448529412
89,0,0.06547619,0.122222222,0.123595506,0.122905028,0,0.148571429,0.232142857,0.292134831,0.258706468,0,0.176136364,0.262711864,0.348314607,0.299516908,0,0.24375,0.354545455,0.438202247,0.391959799,,,,,
90,0,0.128765524,0.227929374,0.227777778,0.227846538,0,0.189815675,0.282942714,0.363888889,0.318325049,0,0.230306804,0.332738104,0.422222222,0.372118251,0,0.259908235,0.365537907,0.466666667,0.409786314,,,,,
91,0,0.165605096,0.282608696,0.285714286,0.284153005,0,0.18452381,0.287037037,0.340659341,0.311557789,0,0.214285714,0.318584071,0.395604396,0.352941176,0,0.265432099,0.377192982,0.472527473,0.419512195,,,,,
92,0,0.09202454,0.174418605,0.163043478,0.168539326,0,0.11827957,0.189655172,0.239130435,0.211538462,0,0.160220994,0.245762712,0.315217391,0.276190476,0,0.185393258,0.277310924,0.358695652,0.312796209,,,,,
93,0,0.12804878,0.22826087,0.225806452,0.227027027,0,0.170212766,0.251968504,0.344086022,0.290909091,0,0.220238095,0.330357143,0.397849462,0.36097561,0,0.244047619,0.353448276,0.440860215,0.392344498,,,,,
95,0,0.078651685,0.144329897,0.147368421,0.145833333,0,0.163934426,0.254237288,0.315789474,0.281690141,0,0.170212766,0.256,0.336842105,0.290909091,0,0.235955056,0.336,0.442105263,0.381818182,,,,,
96,0,0.075144509,0.144444444,0.135416667,0.139784946,0,0.136842105,0.216666667,0.270833333,0.240740741,0,0.194444444,0.294117647,0.364583333,0.325581395,0,0.205714286,0.313043478,0.375,0.341232227,,,,,
99,0,0.097386447,0.177361111,0.175084175,0.176197225,0,0.152994505,0.237768128,0.296296296,0.263726182,0,0.183105555,0.279046948,0.343434343,0.307898491,0,0.233631606,0.331355318,0.434343434,0.375869843,,,,,
102,0,0.130380227,0.228166415,0.22745098,0.227773764,0,0.163951419,0.250417735,0.321568627,0.2814775,0,0.220866372,0.329864502,0.4,0.361323221,0,0.242149377,0.348008264,0.441176471,0.389076656,,,,,
108,0,0.152631579,0.261261261,0.268518519,0.264840183,0,0.223350254,0.330827068,0.407407407,0.365145228,0,0.267015707,0.380597015,0.472222222,0.421487603,0,0.282051282,0.387323944,0.509259259,0.44,,,,,
113,0,0.12755102,0.231481481,0.221238938,0.226244344,0,0.147465438,0.235294118,0.283185841,0.257028112,0,0.222222222,0.341085271,0.389380531,0.363636364,0,0.286432161,0.398601399,0.504424779,0.4453125,,,,,
117,0,0.131707317,0.234782609,0.230769231,0.232758621,0,0.219178082,0.32,0.41025641,0.359550562,0,0.246376812,0.361702128,0.435897436,0.395348837,0,0.292682927,0.405405405,0.512820513,0.452830189,,,,,
119,0,0.124401914,0.224137931,0.218487395,0.221276596,0,0.154185022,0.244755245,0.294117647,0.267175573,0,0.205607477,0.316546763,0.369747899,0.341085271,0,0.253588517,0.370629371,0.445378151,0.404580153,,,,,
141,0,0.0781893,0.157024793,0.134751773,0.145038168,0,0.110294118,0.186335404,0.212765957,0.198675497,0,0.13740458,0.229299363,0.255319149,0.241610738,0,0.161654135,0.255952381,0.304964539,0.278317152,,,,,
144,0,0.157258065,0.272727273,0.270833333,0.271777003,0,0.187279152,0.276041667,0.368055556,0.31547619,0,0.302904564,0.429411765,0.506944444,0.464968153,0,0.356223176,0.48255814,0.576388889,0.525316456,,,,,
180,0,0.1375,0.239130435,0.244444444,0.241758242,0,0.214285714,0.315789474,0.4,0.352941176,0,0.24375,0.357798165,0.433333333,0.391959799,0,0.276190476,0.391891892,0.483333333,0.432835821,,,,,
