"Model","BLEU Score","Exact Ordered Matches","Giveups","BLEU Score Excluding Giveups","Exact Ordered Matches Excluding Giveups"
"glove50",0.11081747544719919,0.11065787444285675,0.8883766683256147,0.9920752142292841,0.9914300544524333
"glove100",0.33190740464924795,0.3296886524724448,0.6656816405213786,0.992324058028608,0.9861446827510856
"glove200",0.6861674754568605,0.6634715937520844,0.3034246817969815,0.9846003980086131,0.9525131750438494
"glove300",0.844582634764274,0.80656724116484,0.14025647095176239,0.9820766892450947,0.9381569147586234
