Wall time,Step,Value
1529410856.688232,1,0.16223430633544922
1529412517.122777,11,0.1396847814321518
1529414185.330501,21,0.13855478167533875
1529415850.776458,31,0.13788537681102753
1529417520.840248,41,0.13428886234760284
1529419183.831515,51,0.13512660562992096
1529420852.207636,61,0.1327366679906845
1529422513.34907,71,0.135071262717247
1529424184.919062,81,0.13331641256809235
1529425845.68228,91,0.13548657298088074
1529427697.577709,1,0.16641832888126373
1529429377.527737,11,0.1423807293176651
1529431064.57975,21,0.13733910024166107
1529432755.732612,31,0.13453957438468933
1529434477.702574,41,0.13243499398231506
1529436188.15856,51,0.13461700081825256
