Wall time,Step,Value
1529389303.740282,1,16.632232666015625
1529389325.750108,11,16.142362594604492
1529389347.683382,21,16.013063430786133
1529389370.564121,31,15.910632133483887
1529389392.570001,41,15.785595893859863
1529389414.55924,51,15.549355506896973
1529389436.570797,61,15.26626968383789
1529389458.63668,71,14.953893661499023
1529389480.678906,81,14.746537208557129
1529389502.686818,91,14.62061595916748
1529389524.670009,101,14.526341438293457
1529389546.540242,111,14.456409454345703
1529389568.603206,121,14.383727073669434
1529389590.552074,131,14.286377906799316
1529389612.620169,141,14.194252014160156
1529389634.818075,151,14.12865161895752
1529389657.013169,161,14.081581115722656
1529389679.198571,171,14.050695419311523
1529389701.108444,181,14.015922546386719
1529389723.118164,191,13.998509407043457
1529389744.997687,201,13.975168228149414
1529389816.737992,1,16.632131576538086
1529389839.452019,11,16.137216567993164
1529389862.023812,21,15.996139526367188
1529389885.045153,31,15.885903358459473
1529389908.141246,41,15.749800682067871
1529389930.763674,51,15.51261043548584
1529389953.726221,61,15.265283584594727
1529389976.612569,71,14.960185050964355
1529389999.578268,81,14.720318794250488
1529390022.574501,91,14.587714195251465
1529390045.454332,101,14.494029998779297
1529390068.188954,111,14.430094718933105
1529390091.084828,121,14.368035316467285
1529390113.838805,131,14.286301612854004
1529390136.544684,141,14.18322467803955
1529390159.364212,151,14.103906631469727
1529390182.113682,161,14.054110527038574
1529390204.756768,171,14.016127586364746
1529390227.305992,181,13.988306999206543
1529390249.937376,191,13.966431617736816
1529390272.647119,201,13.946138381958008
1529390295.408748,211,13.938494682312012
1529390318.480756,221,13.91946792602539
1529390341.363113,231,13.9085054397583
1529390363.963311,241,13.90166187286377
1529390386.944009,251,13.891105651855469
1529390409.653865,261,13.883594512939453
1529390432.543837,271,13.876975059509277
