Wall time,Step,Value
1529385565.376232,1,16.626760482788086
1529385580.990514,11,16.191587448120117
1529385596.49828,21,15.979409217834473
1529385612.12325,31,15.727360725402832
1529385627.859448,41,15.414677619934082
1529385643.671941,51,15.151440620422363
1529385659.403124,61,14.949949264526367
1529385675.072394,71,14.787153244018555
1529385690.661188,81,14.651423454284668
1529385706.353798,91,14.537643432617188
1529385722.17496,101,14.444397926330566
1529385737.93038,111,14.36769962310791
1529385753.618285,121,14.30401611328125
1529385769.326195,131,14.25196647644043
1529385785.110306,141,14.208030700683594
1529385800.821022,151,14.170465469360352
1529385816.380614,161,14.138229370117188
1529385831.774272,171,14.109772682189941
1529385847.355868,181,14.084073066711426
1529385863.058914,191,14.061688423156738
1529385878.953516,201,14.041412353515625
1529385894.652694,211,14.022189140319824
1529385910.416362,221,14.00518798828125
1529385926.145504,231,13.989571571350098
1529385941.951437,241,13.974641799926758
1529385957.698662,251,13.961857795715332
1529385973.553454,261,13.94906997680664
1529385989.494449,271,13.937003135681152
1529386005.320353,281,13.925516128540039
1529386021.299583,291,13.91477108001709
1529386037.008538,301,13.905325889587402
1529386052.548165,311,13.89555835723877
1529386068.235284,321,13.886460304260254
1529386083.946031,331,13.87823486328125
1529386099.53734,341,13.870341300964355
1529386115.321264,351,13.862321853637695
1529386131.103699,361,13.855514526367188
1529386146.77057,371,13.847973823547363
1529386162.442214,381,13.841383934020996
1529386178.172698,391,13.835189819335938
1529386193.996599,401,13.829021453857422
1529386209.811843,411,13.823023796081543
1529386225.4484,421,13.81775951385498
1529386241.271911,431,13.81140422821045
1529386257.029865,441,13.806924819946289
1529386272.910605,451,13.801281929016113
1529386288.631807,461,13.795687675476074
1529386304.317134,471,13.791671752929688
1529386319.877493,481,13.787384986877441
1529386335.789585,491,13.782356262207031
1529386351.519651,501,13.778966903686523
1529386367.020201,511,13.773893356323242
1529386419.15815,1,16.628433227539062
1529386435.293846,11,16.185604095458984
1529386451.464052,21,15.991570472717285
1529386467.631708,31,15.759896278381348
1529386483.930049,41,15.454986572265625
1529386500.108489,51,15.17505168914795
1529386516.37124,61,14.9525728225708
1529386532.689095,71,14.775492668151855
1529386548.831159,81,14.632064819335938
1529386565.140843,91,14.51357650756836
1529386581.185536,101,14.417230606079102
1529386597.327709,111,14.33887767791748
1529386613.350527,121,14.276689529418945
1529386629.508386,131,14.225692749023438
1529386645.615641,141,14.183415412902832
1529386661.996082,151,14.147407531738281
1529386678.219399,161,14.116551399230957
1529386694.486581,171,14.089293479919434
1529386710.75535,181,14.065656661987305
1529386727.030586,191,14.04295825958252
1529386743.305768,201,14.023868560791016
1529386759.431161,211,14.006451606750488
1529386775.604814,221,13.989594459533691
1529386791.86582,231,13.974587440490723
1529386808.303035,241,13.960832595825195
1529386824.379285,251,13.947822570800781
1529386840.76071,261,13.935195922851562
1529386857.106575,271,13.924277305603027
1529386873.245163,281,13.913434982299805
1529386889.420253,291,13.903474807739258
1529386905.68773,301,13.893778800964355
1529386921.998278,311,13.884124755859375
1529386938.393565,321,13.875975608825684
1529386954.548103,331,13.868093490600586
1529386970.871583,341,13.85982608795166
1529386987.050433,351,13.852730751037598
1529387003.329035,361,13.84616470336914
1529387019.536575,371,13.838863372802734
1529387035.739734,381,13.832903861999512
1529387052.033567,391,13.826207160949707
1529387068.251432,401,13.820789337158203
1529387084.522466,411,13.814647674560547
1529387100.706339,421,13.80964469909668
1529387116.941317,431,13.804736137390137
1529387133.299084,441,13.799173355102539
1529387149.555312,451,13.794692039489746
1529387165.747576,461,13.789548873901367
1529387182.143744,471,13.784845352172852
1529387198.470059,481,13.780710220336914
1529387214.632476,491,13.776549339294434
1529387230.753837,501,13.772774696350098
1529387247.00749,511,13.768712997436523
1529387263.255678,521,13.76499080657959
1529387279.334356,531,13.761473655700684
1529387295.537333,541,13.757853507995605
1529387311.736958,551,13.754304885864258
1529387328.138804,561,13.751130104064941
1529387344.404174,571,13.747602462768555
1529387360.98666,581,13.744078636169434
1529387377.855728,591,13.741057395935059
1529387395.027982,601,13.737898826599121
