Wall time,Step,Value
1548417047.655743,1,16.63352394104004
1548417072.698561,11,16.365901947021484
1548417097.540654,21,16.10518455505371
1548417122.845046,31,15.993197441101074
1548417145.760633,41,15.934650421142578
1548417168.440393,51,15.876538276672363
1548417191.150948,61,15.833283424377441
1548417213.71423,71,15.77958869934082
1548417236.400951,81,15.683500289916992
1548417258.965238,91,15.5499267578125
1548417281.652133,101,15.394478797912598
1548417304.315019,111,15.262033462524414
1548417326.925025,121,15.157974243164062
1548417349.595686,131,14.999752044677734
1548417372.387313,141,14.84265422821045
1548417395.231097,151,14.692984580993652
1548417417.884489,161,14.544261932373047
1548417440.670407,171,14.437901496887207
1548417464.693827,181,14.366504669189453
1548417490.172382,191,14.311305046081543
1548417515.476655,201,14.268800735473633
1548417538.922849,211,14.235702514648438
1548417562.210026,221,14.210172653198242
1548417585.645091,231,14.196967124938965
1548417609.172003,241,14.175825119018555
1548417632.54967,251,14.1607084274292
1548417655.816537,261,14.144316673278809
1548417679.207287,271,14.135056495666504
1548417702.662849,281,14.122422218322754
1548417726.020114,291,14.115887641906738
1548417749.56222,301,14.108729362487793
1548417772.94844,311,14.101278305053711
1548417805.246593,321,14.094752311706543
1548417913.81757,1,16.634157180786133
1548417945.755372,11,16.355344772338867
1548417975.986377,21,16.103914260864258
1548418007.309317,31,15.986577033996582
1548418038.298505,41,15.925113677978516
1548418064.163327,51,15.868062019348145
1548418095.899978,61,15.823238372802734
1548418127.494133,71,15.765284538269043
1548418155.180435,81,15.686470031738281
1548418182.268929,91,15.571731567382812
1548418212.528863,101,15.40865707397461
1548418245.715447,111,15.28560733795166
1548418277.373967,121,15.194876670837402
1548418303.950911,131,15.065485954284668
1548418330.217223,141,14.889687538146973
1548418355.717008,151,14.737619400024414
1548418385.312933,161,14.602869987487793
1548418416.69416,171,14.491440773010254
1548418446.653841,181,14.41603946685791
1548418471.290364,191,14.362144470214844
1548418500.118426,201,14.323457717895508
1548418529.91835,211,14.28958797454834
1548418557.283468,221,14.267033576965332
