"max_ground_len","books_0_01_glove300_perfect","books_0_01_glove300_jaccard","books_0_01_glove300_precision","books_0_01_glove300_recall","books_0_01_glove300_f1"
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,0.9992966002344665,0.9997186400937864,0.9998241500586167,1.0,0.9998995143192096
4,0.9978835978835979,0.9990413202317964,0.9993452380952381,0.9996693121693122,0.9994876963130933
5,0.9944277753964852,0.9974335109097219,0.9982405649786704,0.998739819974282,0.9984602747826065
6,0.9900400902029567,0.9956387735500113,0.9970945788738949,0.9977219577382442,0.9973686472496294
7,0.9847350510452114,0.9936670721381465,0.9958087174263643,0.9966319420330115,0.9961677292620413
8,0.9790736045716125,0.9918595636994767,0.9947269443949391,0.9957789812371487,0.9951867723529552
9,0.9734522451519236,0.9900994497243071,0.9936837342546146,0.9949175238556137,0.9942207518906429
10,0.967550539804875,0.988393626128537,0.9926365392176475,0.9941258505828651,0.9932869184744625
11,0.960489859248587,0.9864192095521671,0.9913691098590107,0.9932159061522909,0.9921825835802418
12,0.9527886060791357,0.9843650345344703,0.9900489813956326,0.9923114427929836,0.9910560792961954
13,0.9445945945945946,0.9821076063873752,0.9886161377135184,0.99127196574565,0.9898038702394295
14,0.9355999642346209,0.9796796520972084,0.98698952415312,0.9901478441781554,0.9884100276636345
15,0.9252560378278663,0.9766962542254389,0.9849337600720096,0.9887443789174032,0.9866510886053049
16,0.9152181408839218,0.9737083178433735,0.9828301742630273,0.9872772862010333,0.9848394573299725
17,0.9038240059341389,0.9700344571649343,0.98018746829074,0.9854166321190543,0.9825527860354868
18,0.8916972952596363,0.9658470149602373,0.9770952709716016,0.9832192792716833,0.9798629504214207
19,0.8794011187890753,0.9611754125677161,0.9735522712360902,0.9806372151833086,0.9767502149546619
20,0.8668162313266742,0.9562365003474439,0.969722072071075,0.9778669106408374,0.9733913792852869
21,0.8552993626136324,0.951105869110628,0.9656703004801032,0.9748946099460286,0.9698172719742144
22,0.8444410293188532,0.9462543140390464,0.9617854864789531,0.9720327087493558,0.9663831318330407
23,0.8338759481774854,0.9410215770497814,0.9575246223915163,0.9689026825822564,0.9626186687571561
24,0.8249656746786653,0.9364637554442727,0.9537566015224261,0.9661517282389279,0.9592955221888954
25,0.8167469977942978,0.9320191023100656,0.9500481971874083,0.9633928537713781,0.955999445716799
26,0.8089299560609977,0.9275167609985323,0.9462801304515567,0.9605552133528352,0.952632601205609
27,0.8022533768644773,0.9234644431045915,0.9428652389776981,0.9579418841017181,0.9495638043721374
28,0.7958584576324976,0.9195574478811762,0.9395572463112905,0.9554330870177526,0.9465996926237286
29,0.7911490193605348,0.916581616625418,0.9369943087219086,0.9534780169841423,0.9442982316699114
30,0.7863733922388808,0.9135143059850082,0.934363476097097,0.9514732647686841,0.941934380386622
31,0.7824589295177531,0.9108242692152325,0.9320301229194324,0.9496560911173578,0.9398208847958336
32,0.778932671424139,0.9083317464114794,0.9298507110181828,0.9479112348118122,0.9378262483492104
33,0.7757555157283234,0.9061723481451305,0.9279618782791923,0.9464591572517217,0.9361224145581839
34,0.7731346041326641,0.9042782711447629,0.926291918192535,0.9451420708060155,0.9346020181213024
35,0.7707620290077507,0.9025313040714593,0.9247280921144352,0.9439343980895403,0.9331856611468569
36,0.7688186035118875,0.9011181803044072,0.9234773329794094,0.942949492317412,0.9320470033103906
37,0.7671040371484871,0.8998665678887016,0.9223467286998507,0.9420691980419957,0.9310215888992392
38,0.7657939279342473,0.898858624300028,0.9214339477848585,0.9413405814133948,0.9301851912468723
39,0.7645115620575743,0.8978810334574945,0.9205493299102637,0.9406401471889745,0.929376797788318
40,0.7633262908300528,0.8969489934542448,0.9197011497198361,0.9399589823697734,0.9285977401805843
41,0.7623760873195391,0.896191965220064,0.9190062463912191,0.9393916493848392,0.9279553874243156
42,0.7615357787314055,0.8955372587015751,0.9184139330510748,0.9389140006440064,0.9274105808240896
43,0.7607628684824431,0.8949213090980663,0.9178497863035372,0.9384604764445565,0.9268919395737727
44,0.7600375319702771,0.8943450774029025,0.9173179136590849,0.9380213062889291,0.9263986622869842
45,0.7595547422072324,0.8939615652631204,0.9169616928061616,0.9377282908424599,0.9260688108397103
46,0.7590725654086244,0.8935730161758472,0.9166020415991394,0.9374337432566938,0.9257361032986828
47,0.7587514541691217,0.8933085714388319,0.9163544719151269,0.9372330862397573,0.9255076000798297
48,0.7583733502461417,0.8930031689349893,0.9160726837716927,0.9369971026057529,0.9252448987354361
49,0.7580757154932979,0.8927573018718921,0.9158463638672835,0.9368072319372333,0.9250336893236575
50,0.757835488690036,0.89256107070018,0.9156625167132214,0.9366583714061802,0.9248640780285213
51,0.757538275888076,0.892314298338613,0.9154282001191058,0.9364673183530849,0.9246472206734458
52,0.7573098092437608,0.8921324642019491,0.9152601867854926,0.9363313502829208,0.924492388622905
53,0.7571956275914059,0.8920410649271768,0.9151740440291537,0.9362581122628174,0.9244117094444803
54,0.7570358311099051,0.8919057911901274,0.9150468667855363,0.9361517906874229,0.9242930575941344
55,0.7568761020601932,0.8917729316256733,0.9149192541258357,0.9360437203695063,0.9241735517564855
56,0.7567392450840051,0.8916557991250207,0.9148093105035946,0.9359500755808122,0.924070311367386
57,0.75663663482689,0.8915710957814944,0.9147302354024787,0.9358830040650723,0.9239961364574416
58,0.7566024375913344,0.8915387576201993,0.9146995786442084,0.9358541760951774,0.9239662672059457
59,0.7565682434468214,0.891509279757856,0.9146707154115172,0.9358296760396032,0.9239391626318879
60,0.756408711630569,0.8913729463314966,0.9145378250698537,0.9357157546153563,0.9238139467988746
61,0.7563745349940509,0.8913430071633631,0.9145088925352433,0.9356905255875391,0.9237865183201475
62,0.7563289709492327,0.8913029381573995,0.9144702890560779,0.9356576611380519,0.9237501644140543
63,0.75622647191688,0.8912121776274856,0.9143823406394794,0.9355775963491836,0.9236655863986952
64,0.7561467696523481,0.8911436536815466,0.9143160927386528,0.9355196783490438,0.9236027126282924
65,0.7561126166817224,0.8911168633800969,0.9142901674499057,0.9354983193495422,0.9235786516260927
66,0.7560784667961399,0.8910861064877881,0.9142618482468946,0.9354731390003068,0.9235516717028156
67,0.7560215571746853,0.8910357686876043,0.9142134075461097,0.9354296179207491,0.9235051881100059
69,0.7559532769365084,0.8909751249515913,0.9141553567908336,0.9353771080416888,0.9234495134382049
70,0.7559305195978084,0.8909563147366364,0.914138350240089,0.9353622852768461,0.9234334713830978
71,0.7559077636292483,0.8909361500282826,0.914119775280697,0.935345834649302,0.923415802444181
73,0.7558736322451498,0.8909058624616822,0.9140907270426172,0.9353202331833563,0.9233881932435967
74,0.7558508797013982,0.8908878917361055,0.9140730418979005,0.9353052089332952,0.9233716386601001
76,0.7558395039431702,0.8908780872199413,0.9140630474207182,0.9352965504357793,0.9233621827322294
78,0.7558167534539325,0.890857263521043,0.9140431722424556,0.9352793756247076,0.9233433978035013
80,0.7558053787228919,0.8908490616067073,0.9140339965784503,0.9352718842499936,0.9233349042817646
85,0.7557598832222239,0.8908095068828453,0.9139954443382877,0.9352383359372629,0.923298367641553
89,0.7557485102028532,0.8908006557131599,0.9139878283040449,0.9352315511401773,0.9232911377429077
91,0.7557257651909591,0.8907821961608099,0.9139691603070967,0.9352134628076518,0.9232727590888452
92,0.7557143931984049,0.8907723961271318,0.9139593956705857,0.9352054090349814,0.9232636637283849
94,0.755703021548092,0.8907622045831018,0.9139498421369961,0.9351966473846781,0.923254461017538
96,0.7556916502400048,0.8907520379200639,0.9139401267246361,0.9351876681182513,0.9232450724695579
103,0.7556802792741281,0.8907417859119662,0.913930508396489,0.9351788945320456,0.9232358244768833
118,0.7556689086504461,0.8907324671859173,0.9139215587948967,0.9351711808486728,0.9232274042559826
126,0.7556575383689437,0.8907235652099268,0.9139118961041299,0.9351633790955253,0.9232184623354917
128,0.7556461684296053,0.8907131970620705,0.913901906608093,0.9351540321117194,0.9232087593826792
137,0.7556347988324155,0.8907037708402478,0.9138914994628914,0.9351456394130112,0.9231990773315873
157,0.7556234295773588,0.8906929023329204,0.9138812109865379,0.93513622632859,0.9231891584340582
246,0.7556120606644199,0.8906838509159689,0.913871336385951,0.9351272214152089,0.9231796594020278
