Step,SOWE,GRU,CNN,LSTM
1,0.16678108274936676,0.18384869396686554,0.16223430633544922,0.19083909690380096
11,0.13372813165187836,0.14958642423152924,0.1396847814321518,0.15292774140834808
21,0.13222543895244598,0.14894478023052216,0.13855478167533875,0.14800018072128296
31,,,0.13788537681102753,0.14776922762393951
41,,,0.13428886234760284,
51,,,0.13512660562992096,
61,,,0.1327366679906845,
71,,,0.135071262717247,
81,,,0.13331641256809235,
91,,,0.13548657298088074,
