Step,SOWE-CE,GRU-CE,CNN-CE,LSTM-CE,SOWE-STDPERP,GRU-STDPERP,CNN-STDPERP,LSTM-STDPERP
1,16.626760482788086,16.634244918823242,16.632232666015625,16.63352394104004,0.991266509785369,0.998713413747231,0.996705770496736,0.997993623071854
11,16.191587448120117,16.277482986450195,16.142362594604492,16.365901947021484,0.641500775963922,0.699038578706689,0.610687602866275,0.763661701917453
21,15.979409217834473,16.067340850830078,16.013063430786133,16.10518455505371,0.518858996587622,0.566549126690449,0.536617943312198,0.588400301184313
31,15.727360725402832,15.96237850189209,15.910632133483887,15.993197441101074,0.403260869323178,0.510097277351913,0.484372906981264,0.526062689210369
41,15.414677619934082,15.898897171020508,15.785595893859863,15.934650421142578,0.294977937520671,0.478722030360139,0.427442099485199,0.496147552163573
51,15.151440620422363,15.846264839172363,15.549355506896973,15.876538276672363,0.226708163263115,0.454177360985371,0.337504367996411,0.468137109588063
61,14.949949264526367,15.778852462768555,15.26626968383789,15.833283424377441,0.185336336589321,0.424569370054444,0.254294394514997,0.448319599548313
71,14.787153244018555,15.660486221313477,14.953893661499023,15.77958869934082,0.157492240370325,0.377174960823132,0.186068820327926,0.424882068648087
81,14.651423454284668,15.504439353942871,14.746537208557129,15.683500289916992,0.137503091408957,0.322680380574679,0.151223693437916,0.385955946788338
91,14.537643432617188,15.335902214050293,14.62061595916748,15.5499267578125,0.12271521898841,0.272632615905365,0.133331552848029,0.3376972227546
101,14.444397926330566,15.232353210449219,14.526341438293457,15.394478797912598,0.111789861446641,0.245814246700826,0.121336100355568,0.289079501927519
111,14.36769962310791,15.138847351074219,14.456409454345703,15.262033462524414,0.103536330315202,0.223871067947043,0.113140725226799,0.253219425691552
121,14.30401611328125,14.978761672973633,14.383727073669434,15.157974243164062,0.0971483370978035,0.190753995940096,0.105209123224828,0.228194238314728
131,14.25196647644043,14.850066184997559,14.286377906799316,14.999752044677734,0.092221143092919,0.167718860889621,0.0954498379423604,0.194800311487933
141,14.208030700683594,14.722122192382812,14.194252014160156,14.84265422821045,0.088257055906061,0.147576271629666,0.0870493291508379,0.166480331573305
151,14.170465469360352,14.597519874572754,14.12865161895752,14.692984580993652,0.0850031585238287,0.130287405287636,0.0815221338617389,0.143338293686686
161,14.138229370117188,14.476372718811035,14.081581115722656,14.544261932373047,0.0823066836879383,0.115422079318301,0.0777737570474012,0.123530103316554
171,14.109772682189941,14.378850936889648,14.050695419311523,14.437901496887207,0.0799975194832176,0.104697357882414,0.0754083766392873,0.111065980366316
181,14.084073066711426,14.314695358276367,14.015922546386719,14.366504669189453,0.0779678071193922,0.098191367466168,0.0728312769905912,0.103412683062686
191,14.061688423156738,14.265402793884277,13.998509407043457,14.311305046081543,0.0762419143612014,0.0934686176107231,0.0715740338587359,0.0978590317548566
201,14.041412353515625,14.231221199035645,13.975168228149414,14.268800735473633,0.0747115948567244,0.0903276978263259,0.0699227578631911,0.0937867587201507
211,14.022189140319824,14.201632499694824,,14.235702514648438,0.0732891140703756,0.087694172165578,,
221,14.00518798828125,14.177830696105957,,14.210172653198242,0.0720536466421491,0.0856315372959053,,
231,13.989571571350098,14.157951354980469,,14.196967124938965,0.0709371672484199,0.08394604747523,,
241,13.974641799926758,14.142236709594727,,14.175825119018555,0.0698859582370767,0.0826371762664495,,
251,13.961857795715332,14.127525329589844,,14.1607084274292,0.0689982223525442,0.0814303680362776,,
261,13.94906997680664,14.119475364685059,,14.144316673278809,0.0681215031903527,0.080777487788597,,
271,13.937003135681152,,,14.135056495666504,0.0673044314857179,,,
281,13.925516128540039,,,14.122422218322754,0.0665357285015438,,,
291,13.91477108001709,,,14.115887641906738,0.0658246261267896,,,
301,13.905325889587402,,,14.108729362487793,0.0652058269364873,,,
311,13.89555835723877,,,14.101278305053711,0.0645720272808322,,,
321,13.886460304260254,,,14.094752311706543,0.0639872119302033,,,
331,13.87823486328125,,,,0.0634630475917922,,,
341,13.870341300964355,,,,0.0629640700169659,,,
351,13.862321853637695,,,,0.062461152230623,,,
361,13.855514526367188,,,,0.0620374026630576,,,
371,13.847973823547363,,,,0.0615713564123659,,,
381,13.841383934020996,,,,0.0611669419624229,,,
391,13.835189819335938,,,,0.0607892378877664,,,
401,13.829021453857422,,,,0.0604154217538506,,,
411,13.823023796081543,,,,0.0600541551893485,,,
421,13.81775951385498,,,,0.0597388438396971,,,
431,13.81140422821045,,,,0.0593603902870368,,,
441,13.806924819946289,,,,0.0590950855120358,,,
451,13.801281929016113,,,,0.0587625574820529,,,
461,13.795687675476074,,,,0.0584347426314631,,,
471,13.791671752929688,,,,0.058200543807961,,,
481,13.787384986877441,,,,0.0579515856864,,,
491,13.782356262207031,,,,0.0576608946329897,,,
501,13.778966903686523,,,,0.0574657920116055,,,
511,13.773893356323242,,,,0.0571749749549454,,,
