"model"	"resolution"	"perp"	"msetopeak"	"perpsat"	"perphue"	"perpval"	"perpgeo"	"perpstd"
"Extrapolating CDEST"	64	20447.933510301387	0.17741878032105549	41.403206241630905	15.836851420748832	31.18506173319573	27.345328279859956	0.07800267604942851
"Non-extrapolating CDEST"	64	15221.59261877636	0.16444025605588897	40.06246557568607	12.684783458928237	29.952933553470938	24.782970781379966	0.05806576774130386
"Non-extrapolating Baseline"	64	18061.185315898027	0.1354638190988665	40.71252905939027	13.914332060377482	31.882752198570635	26.237074968943816	0.0688979542385026
"Extrapolating CDEST"	256	1.287509230586794e6	0.20716377525888643	165.28589897949655	62.309073565681665	125.01532465473183	108.78861567720475	0.07674153033416235
"Non-extrapolating CDEST"	256	851130.5434503915	0.16677528292644445	152.79842759398292	48.312714999780056	115.29642644530199	94.76880228547543	0.05073133369984576
"Non-extrapolating Baseline"	256	2.141147143045081e6	0.1390601778165647	186.13062784054785	74.88808896476263	153.6087387584732	128.88889624564703	0.12762231487304454
