"model"	"resolution"	"perp"	"msetopeak"	"perpsat"	"perphue"	"perpval"	"perpgeo"	"perpstd"
"CDEST"	64	20221.331735876	0.14256653864240346	41.83035351826448	15.353688215553092	31.48513079667489	27.243940177480045	0.07713825888014221
"Baseline"	64	20091.284985073726	0.13635443320177187	41.71739822700705	15.321913131443276	31.43239714353017	27.185411089215336	0.07664216989545336
"CDEST"	256	1.213495003415973e6	0.15586710509241725	164.5246153330666	60.08814174922444	122.74910518834639	106.66272239346563	0.0723299386153205
"Baseline"	256	1.332942332223356e6	0.14889565768008212	167.5474170706018	62.92752931339291	126.42499437682751	110.05348176781128	0.07944955421825385
